Name,효과 및 설명,Tags,재화 가치,획득처
보구의 파편,"보구를 분해하여 획득하는 신비한 가루
보구 강화 시 경험치 +30","보구 강화, 보구 분해",3 보석,보구 분해 시 희귀도에 따라 일정량 획득
보구의 원석,보구 강화 시 경험치 +150,보구 강화,9 보석,시즌 당 70~100개정도 이벤트 및 다양한 토큰 상점 등을 통해 수급할 수 있도록 제공.
킹 보구의 원석,보구 강화 시 경험치 +450,보구 강화,27 보석,상점 BM
갓 보구의 원석,보구 강화 시 경험치 +1350,보구 강화,81 보석,상점 BM
초월의 주괴,"동일 보구 대신 돌파 자원으로 사용 가능
※ 초월 당 요구량은 희귀도 별 상이함",보구 강화,150 보석,"시즌 당, 보구 파편 상점에서 3개(각 30가루), 여타 수단을 통해 추가로 1~3개 제공 예정"
보구 확정 소환석,무작위 특급 보구를 획득하는 소환서,보구 뽑기,400 보석,
장신구 강화석,장신구 레벨 경험치 150을 획득한다.,장신구 강화,,장신구 강화석을 획득하는 컨텐츠에서 보통 확률로 획득하는 강화석
보구 소환석,일반 보구 가챠에 사용 가능한 소환서,보구 뽑기,40 보석,다양한 상점에서 시즌 당 약 10~20개 배포 예정
종합 각인석 선택 상자,원하는 색/메인옵션/세트 의 각인을 획득하는 상자,장신구 뽑기,,"각인계열에서 가장 가격이 비싼 획득 재화, BM에서 적절한 가격으로 판매된다.
원하는 모양/주옵션/세트 를 선택하여, 보조 옵션을 무작위로 획득한다."
"적/청/녹/황색 각인석 선택상자 ",해당 색상의 원하는 메인옵션/세트 의 각인을 획득하는 상자,장신구 뽑기,,"위 재화보다는 값이 싼 재화, BM에서 적절한 가격으로 판매된다.
해당 모양의 원하는 주옵션/세트 를 선택하여, 보조 옵션을 무작위로 획득한다."
갓 장신구 강화석,장신구 레벨 경험치 1350을 획득한다.,장신구 강화,,여러가지 이벤트를 통해 획득하는 대용량의 장신구 강화석
킹 장신구 강화석,장신구 레벨 경험치 450을 획득한다.,장신구 강화,,장신구 강화석을 획득하는 컨텐츠에서 적은 확률로 획득하는 상급 강화석
보구 픽업 소환석,픽업 보구 가챠에 사용하는 소환서,보구 뽑기,40 보석,
장신구 파편,장신구 레벨 경험치 50을 획득한다.,장신구 강화,,장신구를 갈아서 획득할 수 있는 장신구 강화석